book_name,author,price,link,book_text
新媒体数据新闻,段峰峰,￥49.80,/book/details/41352,  随着新媒体的迅速发展，新闻的呈现形态也在发生改变，新媒体数据新闻由此诞生。本书以培养新媒体数据新闻的设计与...
Python中文自然语言处理基础与实战,肖刚 张良均 郑鑫标 罗惠琳 陈晓娜,￥59.80,/book/details/43219,...
计算机操作系统实验指导,王红玲,￥49.80,/book/details/44907,本书是《计算机操作系统》一书的配套实验教材，分为两篇：基础实验篇和进阶实验篇。基础实验篇与“操作系统理论课程”...
跨境电商实务（慕课版）,李颖芬,￥46.00,/book/details/41436,跨境电商作为电商的重要分支，已成为企业及个人创业者施展身手的新蓝海之一。《跨境电商实务（慕课版）》系统全面地讲...
生产运作管理（慕课版）,罗娟，宋卫,￥42.00,/book/details/42564,本书基于互联网经济大背景下企业对精益管理人才的需求，以生产者需要具备的管理职能和岗位技能为线索进行编排，而且融...
微博营销与运营 （第2版 慕课版）,陈娜，姜梅,￥42.00,/book/details/43136,微博有低门槛、实时性、高聚合、强裂变的信息传播特点，是当下非常重要的新媒体社交平台之一。作为“超级流量池”的微...
市场调查与分析（慕课版）,黎娟等,￥49.80,/book/details/43286,本书按照市场调查与分析的程序和逻辑，系统介绍了现代市场营销背景下市场调查与分析的基本理论和方法。本书主要内容包...
企业财务管理（微课版）,张文华,￥49.80,/book/details/43343,本书根据《教育部关于全面提高高等职业教育教学质量的若干意见》和国务院印发的《国家职业教育改革实施方案》的要求，...
会计信息化——用友ERP-U8 V10.1版（微课版  第3版）,王珠强,￥59.80,/book/details/44816,本书以用友ERP-U8 V10.1软件为平台，以易友有限责任公司经济业务活动为主线，采用“任务描述与分析→相关...
电路分析基础（第5版）（附微课视频）,曾令琴,￥52.00,/book/details/44409,...
大学生就业指导（第4版 微课版）,张福仁 孟延军 杨彬 吕向阳 王占勇 张艳艳 杜欣 王小刚 侯志奇,￥48.00,/book/details/43452,本书结合当前大学生的就业形势，针对职业院校学生的特点而编写的。本书题材新颖，内容丰富，理论联系实际，并附有毕业...
Premiere 短视频制作（全彩慕课版）,陈紫旭,￥69.80,/book/details/44506,本书立足于行业应用，以应用为主线，以技能为核心，从短视频剪辑的节奏把控到工作内容的描述，从短视频剪辑的基本操作...
财经应用文写作（第2版）,陈承欢,￥46.00,/book/details/44330,本书贴近财经商贸岗位实际需要，结合财经应用文写作特点，针对42种常用文种，精选了67篇典型范文，同时提供70个...
OpenStack云计算平台实战（微课版）,赵德宝 钟小平 涂刚 季丹 吕良,￥69.80,/book/details/43220,本书系统讲解 OpenStack 云计算平台的安装、配置、管理和运维方法，全书共 9 个项目，内容包括Open...
Illustrator  CC 平面设计实战（慕课版）,千锋教育,￥79.80,/book/details/39500,本书主要介绍使用 Illustrator CC 进行平面设计的方法和技巧。全书共分 12 章，包括初识 Ill...
基础会计（附微课视频 第4版）,王辉,￥49.80,/book/details/44812,本书按照财政部新修订发布的《企业会计准则》和新税收法律制度编写，共9章，具体内容包括会计的基本概念、账户设置与...
财务大数据分析与可视化：基于Power BI案例应用（微课版）,汪刚,￥49.80,/book/details/44385,       随着我国信息化进程的不断加速以及大数据和人工智能技术的不断发展，财务人员要全面深入地分析财务数据...
Excel 2010在会计与财务管理中的应用（微课版 第6版）,黄新荣,￥42.00,/book/details/44815,本书遵照新《企业会计准则》编写，对Excel 2010在会计核算、财务管理和管理会计中的应用进行了详细讲述。本...
计算思维与人工智能基础,周勇,￥52.00,/book/details/44263,"本书是中国高等教育学会高等教育科学研究“十三五”规划课题主要成果之一，是“十三五”江苏省高等学校重点教材。
..."
商务礼仪（附微课 第3版）,王玉苓,,/book/details/44199,全书共十章，在对商务礼仪的相关知识进行系统论述的同时，还结合大量的图片和视频，对商务人士形象塑造、日常事务礼仪...
纳税实务（微课版）,张瑞珍,￥39.80,/book/details/43347,本书依据《关于全面推进素质教育、深化中等职业教育教学改革的意见》和国务院印发的《国家职业教育改革实施方案》的要...
Axure RP 9互联网产品原型设计（慕课版）,陈颖 张玉彤,￥59.80,/book/details/41393,Axure RP 9是一款专业产品原型设计软件，它能够按照用户的需求快速创建应用软件、Web网页或App的线框...
WPS Office办公软件应用（微课版）,赵刚 赵秀娟 石峰 兰小艳 张秋君,￥59.80,/book/details/44070,本书主要讲解 WPS Office 2019 办公软件在日常办公中的一些应用和办公技能，主要包括 WPS 文档...
集成电路科学与工程导论,赵巍胜 尉国栋 潘彪,￥99.80,/book/details/44596,为推动国内集成电路领域的基础研究和技术进步，加快学术界、工业界主动适应集成电路知识更新换代的速度，本书作者经详...
计算机组装、维护、维修全能一本通,蔡飓,￥69.80,/book/details/42872,本书主要讲解多核计算机组装、维护、维修的基础知识和相关操作，包括认识多核计算机系统、认识和选购多核计算机的配件...
网络空间安全导论,360安全人才能力发展中心,￥54.00,/book/details/41187,本书深入浅出、系统全面地介绍了网络安全相关的基本知识点，以网络安全岗位所需要的基本理论知识与技能为主线来组织内...
中级财务会计（第5版）,吴学斌,￥69.80,/book/details/44159,本书以最新企业会计准则、会计规范及税收政策为依据，紧跟会计发展的动态，深入浅出、循序渐进地阐述了财务会计的基本...
人力资源管理基础与实务（慕课版）,彭力立等,￥49.80,/book/details/43287,本书以现代人力资源管理的基本内容和过程为脉络，系统介绍了人力资源管理工作的基本原理、方法和实务。本书内容丰富、...
外汇交易原理与实务（第3版）,刘金波,￥54.00,/book/details/43209,本书共十章，分别讲解外汇交易基本知识（包括外汇与外汇市场、外汇交易原理）、外汇交易的具体操作（包括即期外汇交易...
ERP原理与应用（微课版）,成明山 等,￥49.80,/book/details/43218,本书从ERP的概念和理论出发，对ERP所蕴含的管理思想和计划层次进行剖析，帮助读者加深对ERP集成一体化思想的...
大学生创新创业基础与实践（慕课版）,刘霞,￥49.80,/book/details/43331,本书以立德树人为中心，深入贯彻落实《国务院办公厅关于深化高等学校创新创业教育改革的实施意见》，力图激发大学生创...
大学信息技术基础实验指导与习题集,崔向平 刘亚军 韩伟,￥32.00,/book/details/44514,本书是《大学信息技术基础》的配套实验指导教程，由实验和习题两部分组成，编写过程既结合了大学计算机基础课程标准和...
网店商品拍摄与处理：图片 视频 直播（ 视频指导版 第2版）,解新华 李战,￥69.80,/book/details/43382,随着电子商务行业的迅猛发展，网上购物已经成了一种流行趋势。商家通过图片、视频、直播等方式引起消费者的购买欲望。...
企业物流管理（慕课版）,宋爱华,￥46.00,/book/details/41663,"本书定位明确、内容全面，主要以生产型企业为研究对象，按照企业生产运营的主线，从企业物流管
理的角度，重点介绍..."
人力资源管理（附微课  第3版）,吴少华,￥49.80,/book/details/44102,本书共9章，包括绪论、人力资源规划、工作分析与工作设计、人员招聘、员工培训、职业生涯管理、绩效考核、薪酬管理、...
MySQL数据库任务驱动式教程（第2版）（微课版）,石坤泉 汤双霞,￥55.00,/book/details/40536,本书根据《全国计算机等级考试二级MySQL数据库程序设计考试大纲》编写而成，主要讲述数据库设计的基本原理和基本...
